picture,x_center,y_center,width,height,confidence,classification_result
0,264.21976,150.95114,55.177002,54.796776,0.876437,0.0
0,442.50818,395.6332,41.120697,42.370117,0.79995024,0.0
1,263.309,150.10815,54.148193,53.950684,0.88022137,0.0
1,441.36914,395.27948,43.08069,44.12393,0.83742154,0.0
2,62.7889,178.86954,84.74804,81.32579,0.7046984,1.0
2,454.33868,157.40942,45.764862,38.319733,0.5810698,0.0
2,65.52689,181.8721,94.572464,90.290726,0.3107444,0.0
3,458.21753,158.10532,37.884888,36.233383,0.73665386,0.0
3,67.28947,183.71313,90.74879,93.08748,0.6806219,1.0
4,172.6727,298.64203,74.27406,66.32834,0.8490001,1.0
4,384.91937,345.95648,60.06479,53.850372,0.80371237,1.0
5,319.79022,349.56702,57.27304,54.980072,0.8537735,0.0
6,64.3713,281.24884,77.66423,71.35597,0.9012411,1.0
6,407.82184,351.59418,59.02481,58.071564,0.84698206,0.0
7,216.59833,102.831085,125.92775,112.97642,0.8396335,1.0
7,320.14276,438.44757,43.58133,45.976776,0.6539135,0.0
8,362.38306,203.17554,56.45813,50.32756,0.8536259,0.0
8,248.54568,257.0244,44.39009,48.488663,0.42691422,0.0
