picture,x_center,y_center,confidence,classification_result
0,23.799088,230.07016,0.8832665,1.0
0,132.08728,19.355936,0.8695459,1.0
0,330.42126,63.871655,0.51687855,1.0
0,329.4771,65.61284,0.2862009,0.0
1,225.51828,223.8229,0.918135,1.0
1,338.0976,15.6561985,0.8392976,1.0
2,428.6243,218.32455,0.89661527,1.0
3,249.15692,219.78552,0.86183995,0.0
4,459.8744,212.94086,0.87114275,0.0
4,327.82074,351.79938,0.8482349,0.0
4,60.18074,267.6496,0.8018869,0.0
4,224.43887,351.93454,0.7033222,0.0
5,259.71835,260.1114,0.87335867,0.0
5,425.32544,348.26498,0.80896384,0.0
6,468.96313,256.77094,0.8312359,0.0
